#data created on 2021/11/2 from seismo-fortran 
#if you use the file to plot "gmt velo -Sn"
#Please use local_HS3_ENvel_1grid.xyz whih had already change the format via HS3_format.py  
#Jing-Hui Tong, NTU GEO 2021/11/3
#================================
lon lat angle velocity
40 39 254.44 22.040
41 39 254.87 22.060
42 39 255.31 22.080
43 39 255.76 22.098
44 39 256.20 22.116
45 39 256.65 22.133
46 39 257.10 22.149
47 39 257.55 22.165
40 40 254.37 21.941
41 40 254.81 21.963
42 40 255.25 21.983
43 40 255.69 22.003
44 40 256.14 22.022
45 40 256.59 22.040
46 40 257.04 22.057
47 40 257.50 22.073
40 41 254.29 21.836
41 41 254.73 21.859
42 41 255.18 21.880
43 41 255.63 21.901
44 41 256.08 21.921
45 41 256.53 21.940
46 41 256.98 21.958
47 41 257.44 21.975
40 42 254.21 21.725
41 42 254.65 21.749
42 42 255.10 21.771
43 42 255.55 21.793
44 42 256.01 21.814
45 42 256.46 21.834
46 42 256.92 21.853
47 42 257.38 21.871
40 43 254.12 21.608
41 43 254.57 21.633
42 43 255.02 21.656
43 43 255.48 21.679
44 43 255.93 21.701
45 43 256.39 21.722
46 43 256.85 21.742
47 43 257.31 21.761
40 44 254.03 21.485
41 44 254.48 21.511
42 44 254.93 21.535
43 44 255.39 21.559
44 44 255.85 21.581
45 44 256.31 21.603
46 44 256.78 21.624
47 44 257.24 21.644
40 45 253.93 21.356
41 45 254.38 21.382
42 45 254.84 21.408
43 45 255.30 21.432
44 45 255.77 21.456
45 45 256.23 21.478
46 45 256.70 21.500
47 45 257.17 21.521
