Station	Array	Longitude	Latitude	FPD	dt
A000	1	46.3145	37.8583	160.51	1.28
ALVA	1	46.745	37.9802	36.28	1.13
BALI	1	48.7161	38.3055	26.07	1.55
BALK	1	47.889	38.0215	40.4	1.52
BEIG	1	45.9737	37.9134	169	1.35
BIRG	1	46.467	37.8863	30.36	0.83
BOLA	1	47.3474	38.1363	42.41	0.94
DEIM	1	48.1256	38.0574	35.18	1.49
ESFN	1	46.1748	37.9063	-	-
IRAN	1	46.5858	37.902	86.5	0.85
IRIL	1	48.5781	38.2236	37.98	1.25
IVRI	1	48.528	38.1782	35.98	1.24
KHOR	1	45.7842	37.876	155.01	1.43
KUTE	1	48.8038	38.3046	29.17	1.16
LVND	1	48.854	38.293	39.14	1.21
MIRK	1	47.5437	38.0588	39.05	1.04
SARA	1	45.5654	37.8634	167.55	0.86
SEGI	1	46.9213	37.9993	-	-
SHAD	1	47.1636	38.0673	49.95	0.86
SHEB	1	46.6464	37.9532	26.78	0.83
SOHA	1	48.6437	38.2601	42.32	1
SORK	1	47.7177	37.97	33.57	0.93
ZARD	1	48.2869	38.1353	40.92	0.97
ABAR	2	48.9655	36.9265	23.22	1.01
AMIR	2	50.04	37.1872	28.85	0.81
ANZL	2	49.4361	37.4517	40.74	1.56
BAKL	2	49.0406	36.9911	44.53	1.1
BRND	2	48.568	37.2483	41.96	1.34
CHAF	2	48.8958	36.7927	33.29	0.86
EMAM	2	48.805	36.7033	27.77	1.57
FASH	2	49.3281	37.2861	36.28	1.03
GASH	2	49.1801	37.1181	39.76	0.87
GHAN	2	48.975	36.8718	25.24	1.14
JAMS	2-3	49.503	36.9406	39.43	1.15
LAKS	2	49.4092	37.3533	26.37	1.2
MAZG	2	49.2758	37.0278	41.46	1.3
NALB	2	48.8758	37.8027	61	1
NIMA	2	48.6768	36.5576	173.35	1.05
PAME	2	49.2778	37.2299	28.06	1.06
SABZ	2	48.5715	36.4788	14.47	1.18
SANG	2-3	49.65	36.6607	35.68	1.18
SHIV	2	48.3975	36.3405	144.07	1.46
SHUL	2	49.2025	37.1635	35.47	0.9
SIAH	2	49.4157	37.3906	36.91	1.16
ZNJK	INSN	48.685	36.67	160.27	1.26
AMLA	3	50.2771	37.0306	46.18	1.2
ANBH	3	49.9895	36.6643	28.55	1.14
AQCH	3	50.2139	35.6757	76.56	1.27
CHES	3	49.0635	36.0476	61	1.2
DVSH	3	50.109	37.1792	50.47	1.19
HAMI*	3	50.1361	36.2655	31	1.8
HEJB*	3	50.1665	35.5384	33	1.65
JAMS	2-3	49.503	36.9406	39.43	1.15
KARB	3	49.818	37.2913	37.82	1.26
KELI	3	49.9345	36.7501	43.73	1
KHAN	3	50.1466	35.8389	23.09	1.22
KHOS	3	50.0463	36.5606	41.02	0.94
KRUD*	3	50.3341	35.3986	16	1.7
KULA	3	49.8868	37.1053	39.7	1.28
LAFM	3	49.8669	37.2014	40.08	1.18
LOSH	3	49.9222	37.0444	41.49	1.05
NASH	3	50.2006	35.2027	114.73	0.96
NIAQ	3	50.0516	36.3995	50.31	1.14
NORZ	3	49.9272	36.9084	35.79	1.14
RUDK	3	49.8891	35.6915	-	-
SADQ	3	49.809	35.6373	77.93	0.95
SANG	2-3	49.65	36.6607	35.68	1.18
SHAA	3	50.1715	36.0129	57.67	1.1
ZAAF	3	50.1185	36.1053	36.12	1.04
