STA	Lon	Lat	φ_min	φ	φ_max	δt_min	δt	δt_max
N02	59.0998	37.3675	52	68	88	0.3	0.4	0.6
N06	59.0334	36.9772	110	116	120	0.7	0.8	1
N07	58.9704	36.8586	122	128	130	0.7	0.8	0.8
N08	58.9373	36.7292	122	128	130	0.6	0.6	0.7
N09	58.9407	36.5944	126	132	134	0.7	0.7	0.8
N10	58.7187	36.4981	120	130	137	0.6	0.7	0.9
N11	58.76	36.331	108	114	120	0.8	0.9	1
N15	58.5765	35.8076	98	102	104	1.1	1.2	1.3
N16	58.5793	35.6985	62	64	70	1.2	1.4	1.6
N17	58.5628	35.5679	33	42	52	0.5	0.5	0.6
N18	58.5443	35.4411	27	28	31	0.6	0.6	0.6
N19	58.497	35.288	31	32	37	0.6	0.7	0.7
N20	58.4457	35.1586	35	38	41	0.8	0.9	1
N21	58.4427	35.0336	9	14	25	0.6	0.8	1
N22	58.4351	34.8073	41	42	46	0.7	0.7	0.7
N23	58.5386	34.7053	41	46	52	0.7	0.8	0.9
N24	58.6278	34.6162	9	14	23	0.6	0.8	1
N25	58.5103	34.4999	15	18	25	0.4	0.6	0.7
N26	58.6207	34.3529	9	12	17	0.7	0.8	0.9
N28	58.6903	34.0537	137	144	151	0.6	0.8	0.9
N29	58.7319	33.9634	151	164	175	0.6	0.8	0.9
N30	58.7076	33.8153	124	132	134	0.6	0.7	0.8
N31	58.7549	33.6564	143	148	149	0.9	1	1.1
N32	58.7806	33.5351	151	164	173	0.4	0.6	0.7
N33	58.8515	33.4432	145	152	155	0.8	0.9	1
N34	59.0486	33.3596	157	162	163	0.8	0.8	0.8
N35	59.0073	33.1939	141	146	149	0.8	0.9	1
N36	59.0494	33.1011	126	134	139	0.6	0.7	0.8
N37	59.0676	33.0017	100	108	116	1	1.2	1.6
