Site,Long(°E),Lat(°N),Evel,Nvel,SigVe,SigVn,Cor,Solution
ABAD,52.568,31.228,-0.65,13.77,1.54,1.54,0,Raeesi
ABAL,51.986,35.793,-1.09,10.34,0.52,0.51,0.01,Raeesi
ABAR,53.308,31.123,-0.57,13.1,1.55,1.54,0,Raeesi
ABDN,48.2135,30.3778,0.37,20.35,0.12,0.1,0.015,IPGN
ABGR,58.319,32.484,1.46,7.99,1.58,1.58,0.002,Raeesi
ABJN,57.046,31.206,3.06,11.75,1.64,1.64,0.002,Raeesi
ABRK,53.2265,31.1205,-0.34,14.44,0.11,0.13,0.012,IPGN
ABSD,52.0912,35.6612,-1.32,9.21,0.11,0.14,0.013,IPGN
AGKA,48.005,37.169,-0.56,13.04,0.53,0.54,0.012,Raeesi
AGRD,43.033,39.718,0.6,8.35,0.81,0.81,-0.005,Reilinger
AHAR,47.0497,38.4682,3.81,11.21,0.16,0.2,0.005,IPGN
AHVZ,48.7444,31.3439,-2.34,17.33,0.1,0.17,0.01,IPGN
AKHT,50.6006,35.5883,-1.52,11.71,0.13,0.1,0.014,IPGN
ALIS,51.082,28.919,0.28,20.79,1.06,1.04,0.009,Raeesi
ALXY,42.961,44.753,3.97,-3.04,0.56,0.57,-0.032,Reilinger
AMIN,52.586,35.701,-1.95,8.55,0.47,0.46,0.01,Raeesi
AMND,46.1552,38.2312,2.33,11.26,0.11,0.12,0.01,IPGN
AMSI,43.768,40.972,1.26,6.42,0.9,0.5,-0.017,Reilinger
ANGN,57.8973,26.4572,0.52,12.38,0.48,0.34,-0.003,IPGN
ARA4,44.679,39.84,2.63,8.07,0.66,0.65,-0.006,Reilinger
ARBI,48.231,38.477,4.6,12.48,0.47,0.46,-0.003,Raeesi
ARDA,53.822,32.313,-1.3,13.8,0.33,0.33,0.01,Raeesi
ARDH,47.6501,37.8288,1.02,12.9,0.15,0.16,0.006,IPGN
ARDH,42.699,41.111,0.47,3.86,0.83,0.83,-0.01,Reilinger
ARDN,42.755,41.126,0.33,4.86,0.41,0.41,-0.029,Reilinger
ARNG,51.0749,35.9284,-1.64,9.45,0.11,0.43,0.003,IPGN
ARTI,43.954,40.609,2.04,6.9,0.41,0.5,-0.027,Reilinger
