station,longitude (°),latitude (°),phi (°),dt (sec)
AE.AJN,55,24.56,1,1
AE.JRN,52.85,24.94,31,1.4
AE.MSF,56.16,25.37,-35,1
AE.MZR,53.48,23,24,1.2
AE.SHM,56.14,26.05,38,1.1
AE.SRB,54.23,25.22,64,1.2
BH.SAK,50.54,25.98,-25,1.1
BI.AHRM,51.297,28.865,56,0.31
BI.ASAO,50.026,34.548,16,0.21
BI.BJRD,57.411,37.7,81,0.72
BI.BNDS,56.17,27.4,11,0.9
BI.BSRN,59.13,31.97,-8,0.9
BI.CHBR,60.48,25.6,-4,0.8
BI.CHTH,51.126,35.908,-78,0.51
BI.DAMV,51.971,35.63,81,0.72
BI.GHIR,52.99,28.29,10,0.9
BI.GHVR,51.25,34.48,-61,1
BI.GRMI,47.89,38.81,25,1
BI.KRBR,56.76,29.98,-55,1
BI.MAKU,44.684,39.355,-62,0.31
BI.MRVT,56.09,37.66,44,1
BI.NASN,52.81,32.8,-58,1.4
BI.RMKL,49.81,30.98,13,0.9
BI.SHGR,48.8,32.11,30,1
BI.SHRO,56.01,36.01,52,1.1
BI.SHRT,60.29,33.65,7,1.4
BI.SNGE,47.347,35.093,2,0.62
BI.TABS,57.12,33.65,-27,1.2
BI.THKV,50.879,35.916,62,0.41
BI.YZKH,54.59,32.39,-28,1.4
BI.ZHSF,60.78,29.61,-34,1.1
BI.ZNJK,48.685,36.671,-18,0.31
DN.FAQ,55.59,24.75,-17,1.4
II.ABKT,57.819,37.83,59,0.51
II.ABKT,58.419,38.03,-59,0.41
II.RAYN,45.5,23.52,19,1
II.UOSS,56.2,24.95,-36,1
IL.IR2,50.9,35.66,-37,1.2
IL.IR3,51.02,35.48,-53,1.2
IL.IR4,50.9,35.24,-61,0.9
IL.IR5,50.58,35.21,-39,1.2
IL.IR6,50.43,35.47,-83,0.9
IL.IR7,50.61,35.7,-66,1.5
IQ.BHD,44.39,33.28,8,0.5
IQ.ERBL,44.21,36.38,46,1.7
IQ.KDDA,42.82,37.21,33,1.2
IQ.KEHH,45.05,36.68,-76,1.2
IQ.KEKZ,44.1,35.99,26,1
IQ.KESM,44.2,36.98,65,1
IQ.KSBB,45.71,35.04,25,1.1
IQ.KSJS,45.045,35.396,51,0.51
IQ.KSJS,45.645,35.596,-64,0.41
IQ.KSLY,45.45,35.56,-86,1.3
IQ.KSSS,46.24,35.77,-27,1.2
IQ.KSWW,45.26,36.15,-26,0.9
IQ.MSL,43.15,36.38,41,1.3
IR.ABH1,50.25,30.6,20,0.8
IR.AFRZ,59.01,33.43,-8,0.8
IR.AHWZ,48.64,31.33,28,0.8
IR.AKL,58.75,36.59,-30,0.8
IR.AMIS,49.29,31.67,-20,0.9
IR.ANAR,53.73,33.19,-46,0.8
IR.AZR,45.98,37.68,-39,0.5
IR.BDRS,48.88,33.95,48,0.9
IR.BMDN,48.825,33.672,-76,0.51
IR.BNB,56.54,27.45,0,1
IR.BST,46.89,37.7,14,1.1
IR.BZA,47.86,34.47,52,1
IR.CHMN,57.54,29.86,-48,1
IR.CSN1,49.1,37.56,35,1
IR.DHL1,47.28,32.68,27,0.9
IR.DHR,46.39,34.7,4,0.8
IR.DOB,48.18,33.79,48,0.8
IR.EMG,58.65,37.41,-43,0.5
IR.FIR,52.754,35.642,59,0.31
IR.GAS1,48.84,38.39,20,0.9
IR.GENO,56.17,27.4,9,0.9
IR.GZV,50.22,36.39,-79,0.9
IR.HAGD,49.14,34.82,29,1
IR.HSAM,48.6,34.21,49,1.2
IR.HSB,51.28,35.44,-59,1
IR.JASK,57.87,25.87,66,1.1
IR.JHBN,50.67,32.23,-86,0.9
IR.JHRM,53.58,28.5,57,0.8
