Station,Sta_Lat,Sta_Lon,Event,Eve_Lat,Eve_Lon,Baz(°),Dist(°),Depth,Phase,Filter (Hz),Max. corr.,Phi(°),Phi err.(°),dt (s),dt err. (s),Quality
ID01,31.2,34.54,000711-013228,57.37,-154.21,5,91,43,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID03,31.14,34.78,000711-013228,57.37,-154.21,5,92,43,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID06,30.56,35.18,010228-185432,47.15,-122.73,345,100,51,SKSac,0.05-0.25,0.98,15,22,1.34,0.27,fair
ID06,30.56,35.18,010413-153353,-59.72,-25.59,207,103,26,SKSac,0.05-0.25,0.98,-6,6,0.48,0.28,good
ID07,30.79,34.77,000807-143355,-7.02,123.36,97,92,648,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID07,30.79,34.77,001004-143744,11.12,-62.56,283,91,110,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
ID07,30.79,34.77,001027-042151,26.27,140.46,60,89,388,SKSac,0.05-0.25,0.94,-2,5,1.18,0.27,fair
ID07,30.79,34.77,001123-184315,-4.59,153.06,79,117,33,SKSdf,0.05-0.25,0.97,9,11,1.55,0.29,good
ID07,30.79,34.77,010102-073003,6.75,126.81,83,88,33,SKSac,0.05-0.25,0.98,6,22,1.67,0.27,good
ID07,30.79,34.77,010216-055909,-7.16,117.49,100,87,521,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
ID07,30.79,34.77,010224-072348,1.27,126.25,88,91,35,SKSac,0.05-0.25,0.98,11,5,1.8,0.26,fair
ID07,30.79,34.77,010314-185618,0.45,121.89,91,87,109,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID07,30.79,34.77,010409-090057,-32.67,-73.11,248,120,11,SKSac,0.05-0.25,0.9,4,8,1.5,0.28,fair
ID07,30.79,34.77,010409-090057,-32.67,-73.11,248,120,11,SKSac,0.05-0.25,0.92,-4,29,1.32,0.28,fair
ID07,30.79,34.77,010413-153353,-59.72,-25.59,207,103,26,SKSac,0.05-0.25,0.99,-5,20,0.52,0.37,good
ID07,30.79,34.77,010520-042143,18.82,-104.45,316,117,33,SKKSac,0.05-0.25,0.98,1,12,1.04,0.28,good
ID08,30.6,34.79,001004-143744,11.12,-62.56,283,91,110,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
ID08,30.6,34.79,001027-042151,26.27,140.46,60,89,388,SKSac,0.05-0.25,0.9,-1,4,1.34,0.3,fair
ID10,31.36,34.49,000614-170048,4.54,127.72,84,90,89,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID10,31.36,34.49,010228-185432,47.15,-122.73,344,99,51,SKSac,0.05-0.25,0.97,12,8,1.52,0.28,good
ID10,31.36,34.49,010528-083705,-6.61,132.35,92,100,33,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID12,30.99,34.92,001027-042151,26.27,140.46,60,89,388,SKSac,0.05-0.25,0.9,1,5,1.24,0.29,fair
ID21,30.33,34.95,001027-042151,26.27,140.46,60,89,388,SKSac,0.05-0.25,0.93,6,18,1.18,0.25,fair
ID25,31.19,34.32,010216-055909,-7.16,117.49,100,88,521,SKSac,0.05-0.25,0.94,Null,Null,Null,Null,goodNull
ID25,31.19,34.32,010224-072348,1.27,126.25,88,91,35,SKSac,0.05-0.25,0.99,4,6,1.9,0.28,fair
ID25,31.19,34.32,010314-185618,0.45,121.89,91,88,109,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
ID25,31.19,34.32,010413-153353,-59.72,-25.59,207,103,26,SKSac,0.05-0.25,0.99,-7,19,0.8,0.24,good
ID27,30.66,35.24,010224-072348,1.27,126.25,88,90,35,SKSac,0.05-0.25,0.98,4,4,2.14,0.3,fair
ID27,30.66,35.24,010413-153353,-59.72,-25.59,207,103,26,SKSac,0.05-0.25,0.95,-5,15,0.74,0.28,good
ID27,30.66,35.24,010528-083705,-6.61,132.35,92,99,33,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID28,30.36,35.16,001123-184315,-4.59,153.06,79,116,33,SKSdf,0.05-0.25,0.95,6,6,1.61,0.3,good
ID28,30.36,35.16,010102-073003,6.75,126.81,83,88,33,SKSac,0.05-0.25,0.97,6,5,1.72,0.28,good
ID28,30.36,35.16,010119-081014,-11.66,166.38,78,131,50,PKSbc,0.05-0.25,0.95,15,3,1.4,0.29,good
ID28,30.36,35.16,010216-055909,-7.16,117.49,100,87,521,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
ID28,30.36,35.16,010224-072348,1.27,126.25,88,90,35,SKSac,0.05-0.25,0.96,12,7,1.98,0.25,fair
ID28,30.36,35.16,010528-083705,-6.61,132.35,92,99,33,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID31,30.08,35.13,001123-184315,-4.59,153.06,79,116,33,SKSdf,0.05-0.25,0.99,13,3,1.41,0.3,good
ID31,30.08,35.13,010119-081014,-11.66,166.38,79,131,50,PKSbc,0.05-0.25,0.96,-1,5,1.59,0.28,fair
ID32,29.97,35.06,010216-055909,-7.16,117.49,100,87,521,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
ID32,29.97,35.06,010528-083705,-6.61,132.35,92,100,33,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
ID33,29.91,35,010119-081014,-11.66,166.38,79,131,50,PKSbc,0.05-0.25,0.98,15,12,1.45,0.29,fair
ID33,29.91,35,010224-072348,1.27,126.25,88,90,35,SKSac,0.05-0.25,0.96,11,6,1.82,0.27,fair
JD02,30.81,35.41,001004-143744,11.12,-62.56,284,91,110,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JD02,30.81,35.41,010102-073003,6.75,126.81,84,88,33,SKSac,0.05-0.25,0.96,8,5,1.75,0.29,fair
JD02,30.81,35.41,010224-072348,1.27,126.25,88,90,35,SKSac,0.05-0.25,0.96,8,5,2.18,0.28,fair
JD06,30.09,35.21,010224-072348,1.27,126.25,88,90,35,SKSac,0.05-0.25,0.96,16,25,1.54,0.29,fair
JD08,29.72,35.05,000711-013228,57.37,-154.21,5,93,43,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
JD08,29.72,35.05,010119-081014,-11.66,166.38,79,131,50,PKSbc,0.05-0.25,0.96,-3,24,1.39,0.28,fair
JD08,29.72,35.05,010413-153353,-59.72,-25.59,207,102,26,SKSac,0.05-0.25,0.98,-16,12,0.56,0.26,fair
JK02,30.57,35.56,000807-143355,-7.02,123.36,97,92,648,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JK02,30.57,35.56,001004-143744,11.12,-62.56,284,91,110,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JK02,30.57,35.56,010102-073003,6.75,126.81,84,88,33,SKSac,0.05-0.25,0.98,4,5,1.61,0.3,fair
JK02,30.57,35.56,010228-185432,47.15,-122.73,345,100,51,SKSac,0.05-0.25,0.93,10,10,1.3,0.26,fair
JK05,30.24,35.48,001027-042151,26.27,140.46,60,89,388,SKSac,0.05-0.25,0.95,6,10,1.3,0.28,fair
JS02,30.29,36.24,000807-143355,-7.02,123.36,97,91,648,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JS02,30.29,36.24,010228-185432,47.15,-122.73,346,101,51,SKSac,0.05-0.25,0.99,10,6,1.26,0.25,good
JS02,30.29,36.24,040205-210502,-3.62,135.54,88,100,16,SKSac,0.05-0.25,0.99,9,4,1.76,0.3,fair
JS03,29.94,36.14,000711-013228,57.37,-154.21,6,93,43,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
JS04,29.3,35.95,000807-143355,-7.02,123.36,97,91,648,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JS04,29.3,35.95,001004-143744,11.12,-62.56,284,92,110,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JS05,29.43,35.81,010224-072348,1.27,126.25,89,90,35,SKSac,0.05-0.25,0.97,10,5,2.1,0.25,fair
JS05,29.43,35.81,010228-185432,47.15,-122.73,345,101,51,SKSac,0.05-0.25,0.98,10,5,1.32,0.22,good
JS05,29.43,35.81,010413-153353,-59.72,-25.59,207,102,26,SKSac,0.05-0.25,0.99,-9,25,0.54,0.28,good
JS06,29.53,35.6,010102-073003,6.75,126.81,84,88,33,SKSac,0.05-0.25,0.95,8,4,1.58,0.3,fair
JS07,29.42,35.39,001004-143744,11.12,-62.56,284,91,110,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JS07,29.42,35.39,010224-072348,1.27,126.25,88,90,35,SKSac,0.05-0.25,0.96,15,4,1.64,0.25,fair
JS07,29.42,35.39,040409-152335,-13.17,167.2,81,133,228,PKSbc,0.05-0.25,0.97,15,5,1.35,0.3,good
JW01,30.87,35.97,000711-013228,57.37,-154.21,5,92,43,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JW01,30.87,35.97,001004-143744,11.12,-62.56,284,92,110,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
JW01,30.87,35.97,001027-042151,26.27,140.46,60,88,388,SKSac,0.05-0.25,0.9,4,5,1.3,0.29,fair
JW01,30.87,35.97,010102-073003,6.75,126.81,84,87,33,SKSac,0.05-0.25,0.9,6,5,1.65,0.27,fair
JW01,30.87,35.97,010224-072348,1.27,126.25,89,90,35,SKSac,0.05-0.25,0.94,10,5,2.12,0.3,fair
JW01,30.87,35.97,010413-153353,-59.72,-25.59,207,103,26,SKSac,0.05-0.25,0.98,-13,4,0.44,0.26,good
JW04,30.33,35.77,010228-185432,47.15,-122.73,345,100,51,SKSac,0.05-0.25,0.96,10,11,1.3,0.3,fair
JW07,30,35.5,010413-153353,-59.72,-25.59,207,102,26,SKSac,0.05-0.25,0.98,-11,12,0.52,0.27,good
JW07,30,35.5,040221-023442,-58.42,-14.96,204,98,10,SKSac,0.05-0.25,0.98,-10,20,0.6,0.3,fair
JW09,29.68,35.32,000711-013228,57.37,-154.21,5,93,43,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fairNull
JW09,29.68,35.32,010224-072348,1.27,126.25,88,90,35,SKSac,0.05-0.25,0.93,13,6,1.62,0.27,fair
JW3X,30.59,35.77,010228-185432,47.15,-122.73,345,100,51,SKSac,0.05-0.25,0.98,10,5,1.42,0.24,good
