Station,Sta_Lat,Sta_Lon,Phi,dt
ID01,31.2,34.54,,
ID03,31.14,34.78,,
ID06,30.56,35.18,4.5,0.91
ID07,30.79,34.77,2.5,1.3225
ID08,30.6,34.79,-1.0,1.34
ID10,31.36,34.49,12.0,1.52
ID12,30.99,34.92,1.0,1.24
ID21,30.33,34.95,6.0,1.18
ID25,31.19,34.32,-1.5,1.35
ID27,30.66,35.24,-0.5,1.44
ID28,30.36,35.16,9.75,1.6775000000000002
ID31,30.08,35.13,6.0,1.5
ID32,29.97,35.06,,
ID33,29.91,35.0,13.0,1.635
JD02,30.81,35.41,8.0,1.965
JD06,30.09,35.21,16.0,1.54
JD08,29.72,35.05,-9.5,0.975
JK02,30.57,35.56,7.0,1.455
JK05,30.24,35.48,6.0,1.3
JS02,30.29,36.24,9.5,1.51
JS03,29.94,36.14,,
JS04,29.3,35.95,,
JS05,29.43,35.81,3.6666666666666665,1.32
JS06,29.53,35.6,8.0,1.58
JS07,29.42,35.39,15.0,1.495
JW01,30.87,35.97,1.75,1.3775000000000002
JW04,30.33,35.77,10.0,1.3
JW07,30.0,35.5,-10.5,0.56
JW09,29.68,35.32,13.0,1.62
JW3X,30.59,35.77,10.0,1.42
