Station,Sta_Lat,Sta_Lon,Event,Eve_Lat,Eve_Lon,Baz(°),Dist(°),Depth,Phase,Filter (Hz),Max. corr.,Phi(°),Phi err.(°),dt (s),dt err. (s),Quality
IB09,31.23,35.4,061114-142101,-6.39,128,94,95,345,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB09,31.23,35.4,070120-062104,-55.42,-29.53,212,103,10,SKSac,0.05-0.25,0.95,10,10,1.75,0.27,fair
IB09,31.23,35.4,070130-213744,20.98,144.71,62,95,20,SKSac,0.05-0.25,0.97,-8,3,1.75,0.15,good
IB09,31.23,35.4,070228-231315,-55.24,-29.14,212,102,10,SKSac,0.05-0.25,0.96,11,12,1.7,0.25,fair
IB09,31.23,35.4,070721-153452,-22.15,-65.78,256,110,289,SKSac,0.05-0.25,0.97,3,3,1.75,0.1,fair
IB09,31.23,35.4,070726-054016,2.87,127.46,86,90,25,SKKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB09,31.23,35.4,070930-052334,-49.27,164.12,130,138,10,PKSab,0.05-0.25,0.99,14,18,1.48,0.25,good
IB09,31.23,35.4,070930-094751,-49.14,164.11,130,138,18,PKSbc,0.05-0.25,0.94,5,10,1.35,0.23,fair
IB09,31.23,35.4,070930-094751,-49.14,164.11,130,138,18,SKKSac,0.05-0.25,0.94,3,10,1.02,0.18,fair
IB09,31.23,35.4,071006-123849,18.73,147.15,63,98,20,SKKSac,0.05-0.25,0.96,-6,9,1.3,0.25,good
IB09,31.23,35.4,071213-072339,-23.2,-70.55,257,115,16,SKSac,0.05-0.25,0.97,15,12,1.4,0.25,good
IB09,31.23,35.4,071215-093953,-6.62,131.09,93,98,57,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB09,31.23,35.4,071226-220454,52.56,-168.22,14,94,25,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB09,31.23,35.4,080212-125018,16.36,-94.3,307,112,83,SKKSac,0.05-0.25,0.96,2,10,1.54,0.25,good
IB09,31.23,35.4,080213-195846,-8.16,128.64,95,97,19,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB11,31.2,35.42,061113-012635,-26.05,-63.28,251,110,572,SKSac,0.05-0.25,0.93,5,12,1,0.25,good
IB11,31.2,35.42,061129-013217,2.52,128.28,86,91,39,SKKSac,0.05-0.25,0.93,14,9,1.5,0.25,good
IB11,31.2,35.42,070130-213744,20.98,144.71,62,95,20,SKSac,0.05-0.25,0.95,6,7,1.3,0.15,good
IB11,31.2,35.42,070228-231315,-55.24,-29.14,212,102,10,SKSac,0.05-0.25,0.94,5,10,1.55,0.25,fair
IB11,31.2,35.42,070317-174226,1.13,126.22,89,90,35,SKSac,0.05-0.25,0.96,14,11,1.46,0.26,good
IB11,31.2,35.42,071009-150341,-4.81,152.89,79,116,39,SKSac,0.05-0.25,0.94,10,11,1.5,0.25,good
IB11,31.2,35.42,080212-125018,16.36,-94.3,307,112,83,SKSac,0.05-0.25,0.96,11,12,1.1,0.3,good
IB13,31.17,35.44,061113-012635,-26.05,-63.28,251,110,572,SKSac,0.05-0.25,0.94,6,12,0.95,0.25,fair
IB13,31.17,35.44,070121-112745,1.07,126.28,89,90,22,SKKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB13,31.17,35.44,070130-213744,20.98,144.71,62,95,20,SKSac,0.05-0.25,0.96,3,5,1.3,0.15,good
IB13,31.17,35.44,070930-052334,-49.27,164.12,131,138,10,PKSbc,0.05-0.25,0.97,19,9,1.05,0.25,fair
IB13,31.17,35.44,070930-094751,-49.14,164.11,130,138,18,PKSbc,0.05-0.25,0.94,11,4,1.1,0.27,fair
IB13,31.17,35.44,071006-123849,18.73,147.15,63,98,20,SKSac,0.05-0.25,0.99,4,9,1.2,0.25,fair
IB13,31.17,35.44,080212-125018,16.36,-94.3,307,112,83,SKSac,0.05-0.25,0.9,12,14,1.1,0.25,fair
IB13,31.17,35.44,080213-195846,-8.16,128.64,95,97,19,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,061113-012635,-26.05,-63.28,251,110,572,SKSac,0.05-0.25,0.91,1,12,1.15,0.3,fair
IB15,31.14,35.46,061114-142101,-6.39,128,94,95,345,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,070628-025210,-7.98,154.63,81,119,18,SKKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,070706-010919,16.35,-93.99,307,112,113,SKKSac,0.05-0.25,0.94,0,16,1.1,0.25,good
IB15,31.14,35.46,070721-153452,-22.15,-65.78,256,110,289,SKSac,0.05-0.25,0.96,-3,3,1.45,0.29,fair
IB15,31.14,35.46,070815-202211,50.32,-177.55,20,94,9,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,070910-014911,2.97,-77.96,285,108,15,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,070928-133857,22.01,142.67,63,93,260,SKKSac,0.05-0.25,0.96,2,12,0.95,0.25,fair
IB15,31.14,35.46,070930-094751,-49.14,164.11,130,138,18,PKSbc,0.05-0.25,0.96,13,12,1.02,0.26,good
IB15,31.14,35.46,071006-123849,18.73,147.15,63,98,20,SKSac,0.05-0.25,0.94,1,14,1.05,0.25,good
IB15,31.14,35.46,071031-134419,51.42,-178.38,20,93,28,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,071116-031300,-2.31,-77.84,280,111,122,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,071215-093953,-6.62,131.09,93,98,57,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,071226-220454,52.56,-168.22,14,94,25,SKKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB15,31.14,35.46,080212-125018,16.36,-94.3,307,112,83,SKKSac,0.05-0.25,0.94,5,14,0.9,0.25,good
IB17,31.1,35.45,061113-012635,-26.05,-63.28,251,110,572,SKSac,0.05-0.25,0.94,-4,5,1.4,0.29,good
IB17,31.1,35.45,061114-142101,-6.39,128,94,95,345,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB17,31.1,35.45,070228-231315,-55.24,-29.14,212,102,10,SKSac,0.05-0.25,0.99,0,16,0.95,0.2,good
IB17,31.1,35.45,070529-093605,-1.07,127.34,90,92,24,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB17,31.1,35.45,070930-052334,-49.27,164.12,131,138,10,PKSbc,0.05-0.25,0.93,22,4,1.3,0.33,fair
IB17,31.1,35.45,071006-123849,18.73,147.15,63,98,20,SKSac,0.05-0.25,0.96,9,17,1.05,0.3,good
IB17,31.1,35.45,071115-150308,-22.87,-70.41,257,115,27,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB17,31.1,35.45,071116-031300,-2.31,-77.84,280,111,122,SKKSac,0.05-0.25,0.98,-4,6,1.35,0.25,good
IB17,31.1,35.45,071215-093953,-6.62,131.09,93,98,57,SKKSac,0.05-0.25,0.95,19,11,1.3,0.25,fair
IB17,31.1,35.45,071221-072434,51.37,-178.98,21,92,25,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB17,31.1,35.45,071226-220454,52.56,-168.22,14,94,25,SKKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB17,31.1,35.45,080105-110106,51.25,-130.75,351,97,15,SKKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
IB17,31.1,35.45,080212-125018,16.36,-94.3,307,113,83,SKKSac,0.05-0.25,0.94,14,15,1,0.28,good
IB17,31.1,35.45,080223-155720,-57.33,-23.43,208,101,14,SKSac,0.05-0.25,0.94,-6,12,0.95,0.25,fair
IB19,31.07,35.44,061129-013217,2.52,128.28,86,91,39,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
