Station,Sta_Lat,Sta_Lon,Phi,dt
IB09,31.23,35.4,4.9,1.5040000000000002
IB11,31.2,35.42,9.285714285714286,1.344285714285714
IB13,31.17,35.44,9.166666666666666,1.116666666666667
IB15,31.14,35.46,2.7142857142857144,1.0885714285714285
IB17,31.1,35.45,6.25,1.1625
IB19,31.07,35.44,1.8,1.326
IB21,31.02,35.42,-2.6666666666666665,0.49333333333333335
IB22,31.06,35.36,0.5,1.9
IB25,31.13,35.36,-5.0,2.25
IB31,31.32,35.35,3.4285714285714284,1.4835714285714285
IB36,30.93,35.39,4.0,1.0833333333333333
IB38,31.45,35.38,1.4,1.52
IB44,31.75,35.46,2.6666666666666665,1.5633333333333335
IS01,31.28,35.13,1.0,1.2999999999999998
IS02,31.26,35.23,1.2857142857142858,1.272857142857143
IS08,31.24,35.38,,
IS10,31.22,35.41,6.0,1.2
IS12,31.19,35.43,2.0,1.2999999999999998
IS14,31.15,35.45,20.5,1.225
IS16,31.12,35.46,8.666666666666666,1.1416666666666668
IS20,31.05,35.43,-8.0,1.46
IS26,31.15,35.33,-2.0,2.36
IS27,31.15,35.28,-4.5,1.9449999999999998
IS32,31.35,35.35,-1.5,1.925
IS34,31.07,35.33,-7.0,1.8499999999999999
IS35,30.99,35.41,,
IS37,31.42,35.38,3.6,1.8060000000000003
IS41,30.77,35.29,8.5,1.5
IS42,31.57,35.4,10.0,1.44
IS43,31.68,35.44,3.3333333333333335,1.61
JB01,31.24,35.48,8.0,1.175
JB02,31.25,35.47,7.0,1.1
JB04,31.25,35.43,8.142857142857142,1.2214285714285715
JB07,31.29,35.48,9.5,1.275
JB10,31.34,35.49,11.833333333333334,1.3666666666666665
JB12,31.37,35.5,10.75,1.375
JB15,31.25,35.54,5.1,1.7429999999999999
JB18,31.25,35.62,6.428571428571429,1.7600000000000002
JB19,31.23,35.65,6.75,1.7275
JB21,31.2,35.67,4.875,1.415
JB29,31.3,35.57,-1.0,2.05
JB37,31.39,35.67,6.538461538461538,1.6215384615384614
JB39,31.19,35.61,3.3076923076923075,1.7476923076923077
JB41,31.27,35.54,4.8,1.83
JB42,31.33,35.5,4.5,1.5550000000000002
JS03,31.26,35.44,,
JS05,31.24,35.4,-1.25,1.1849999999999998
JS06,31.28,35.47,3.6666666666666665,1.1166666666666665
JS08,31.31,35.49,1.0,1.3
JS09,31.32,35.49,9.333333333333334,1.2666666666666666
JS11,31.35,35.51,15.0,1.2
JS13,31.23,35.5,8.0,1.4333333333333336
JS14,31.24,35.52,1.0,1.8033333333333335
JS17,31.25,35.6,-2.0,1.95
JS20,31.21,35.66,8.666666666666666,1.7666666666666666
JS22,31.19,35.69,4.0,1.4316666666666666
JS23,31.22,35.67,7.0,1.65
JS24,31.18,35.7,5.0,1.27
JS26,31.17,35.54,0.75,1.9825
JS27,31.19,35.54,-1.0,1.81
JS28,31.3,35.54,2.6666666666666665,1.8
JS31,31.33,35.58,0.0,2.05
JS33,31.33,35.64,6.4,1.6260000000000001
JS35,31.38,35.7,5.444444444444445,1.6133333333333335
JS40,31.12,35.63,1.0,1.6
