Station,Sta_Lat,Sta_Lon,Event,Eve_Lat,Eve_Lon,Baz(°),Dist(°),Depth,Phase,Filter (Hz),Max. corr.,Phi(°),Phi err.(°),dt (s),dt err. (s),Quality
BGIO,31.722,35.092,941210-161738,18.14,-101.38,314,115,48,SKSdf,0.05-0.25,0.99,-1,4,1.15,0.1,fair
BGIO,31.722,35.092,950624-065806,-3.96,153.93,78,116,386,SKSac,0.05-0.25,0.98,1,4,1.7,0.11,good
BGIO,31.722,35.092,950814-043717,-4.84,151.51,80,115,127,SKSac,0.05-0.25,0.94,1,5,1.82,0.3,fair
BGIO,31.722,35.092,950818-021625,-55.93,-28.83,211,103,41,SKSac,0.05-0.25,1,-6,10,0.81,0.24,good
BGIO,31.722,35.092,950819-214331,5.14,-75.58,286,105,119,SKKSac,0.05-0.25,0.98,-41,10,0.46,0.25,fair
EIL,29.6712,34.952,010413-153353,-59.72,-25.59,207,102,26,SKSac,0.05-0.25,0.97,-2,12,0.65,0.25,good
EIL,29.6712,34.952,010703-131042,21.64,142.98,62,94,290,SKSac,0.05-0.25,0.93,3,4,1.41,0.24,good
EIL,29.6712,34.952,020116-230952,15.5,-93.13,305,113,80,SKSac,0.05-0.25,0.97,5,5,0.96,0.26,good
EIL,29.6712,34.952,021112-014648,-56.55,-27.54,210,101,120,SKSac,0.05-0.25,0.99,-5,12,0.75,0.18,good
EIL,29.6712,34.952,030623-121234,51.44,176.78,23,93,20,SKSac,0.05-0.25,0.99,-15,5,0.45,0.24,good
EIL,29.6712,34.952,031018-222713,0.44,126.1,89,91,33,SKSac,0.05-0.25,0.97,9,5,1.9,0.24,fair
EIL,29.6712,34.952,040906-124259,-55.37,-28.98,211,101,10,SKSac,0.05-0.25,0.98,-1,4,0.81,0.24,good
EIL,29.6712,34.952,040919-202604,52.21,174.03,24,91,25,SKKSac,0.05-0.25,0.96,-27,5,0.71,0.24,good
EIL,29.6712,34.952,040919-202604,52.21,174.03,24,91,25,SKSac,0.05-0.25,0.96,-8,16,0.55,0.25,fair
EIL,29.6712,34.952,050617-062142,40.77,-126.57,345,108,10,SKSac,0.05-0.25,0.97,10,9,1.45,0.19,good
EIL,29.6712,34.952,070130-213745,20.99,144.7,62,96,30,SKSac,0.05-0.25,0.96,7,5,1.25,0.21,good
EIL,29.6712,34.952,070721-153452,-22.15,-65.78,255,110,289,SKSac,0.05-0.25,0.93,8,5,1.51,0.26,good
EIL,29.6712,34.952,100903-111606,51.45,-175.87,19,95,23,SKSac,0.05-0.25,Null,Null,Null,Null,Null,fair
EIL,29.6712,34.952,101208-052435,-56.41,-25.74,209,100,29,SKSac,0.05-0.25,0.97,-2,10,0.68,0.25,good
EIL,29.6712,34.952,980101-061122,23.91,141.91,61,92,95,SKSac,0.05-0.25,0.98,6,5,1.31,0.2,good
EIL,29.6712,34.952,980823-135715,11.66,-88.04,298,111,54,SKSac,0.05-0.25,0.97,-4,12,0.75,0.25,fair
EIL,29.6712,34.952,990128-081005,52.89,-169.12,14,95,67,SKSac,0.05-0.25,Null,Null,Null,Null,Null,goodNull
