Date,Event Latitude,Event Longitude,Event Depth,Mw,Fast Axis Orientation,Delay Time,Is Null?,Station Name,Station Latitude,Station Longitude,Bidirectional Circular Average at Stations (Sadeghi-Bagherabadi et al. 2018),Average Delay Time at Stations (Sadeghi-Bagherabadi et al. 2018),The Two Best Recorded Earthquakes
1-Jan-14,-13.863,167.249,187,6.5,41.21221538,0.76,No,E01,33.0758,46.5279,13,0.98,†
23-Mar-14,-19.702,-70.87,21,6.2,-15.15431473,1.2,No,E01,33.0758,46.5279,13,0.98,
11-Apr-14,-6.625,155.064,50,7.1,83.40684902,2.88,Yes,E01,33.0758,46.5279,13,0.98,
13-Jan-14,19.043,-66.81,20,6.4,2.83140782,0.24,Yes,E01,33.0758,46.5279,13,0.98,
15-Apr-14,-53.527,8.704,12,6.9,31.40208297,1.5,Yes,E01,33.0758,46.5279,13,0.98,
16-Oct-13,-6.446,154.931,35,6.8,-20.53442468,0.88,No,E02,33.43443,46.98882,,,
1-May-14,-21.454,170.355,106,6.6,-14.29106754,2.12,No,E02,33.43443,46.98882,,,
3-Apr-14,-20.268,-70.556,23,6.5,62.55536445,1.14,No,E02,33.43443,46.98882,,,
13-Jan-14,19.043,-66.81,20,6.4,-82.84651724,0.14,Yes,E02,33.43443,46.98882,,,
15-Mar-14,-5.58,-80.957,29,6.3,16.06881863,2.4,Yes,E02,33.43443,46.98882,,,
4-Apr-14,-20.621,-70.739,20,6.1,84.2725673,1.46,Yes,E02,33.43443,46.98882,,,
12-Oct-13,10.905,-62.315,63,6,89.96852509,0.5,No,E02,33.43443,46.98882,,,‡
5-Mar-14,-14.738,169.823,638,6.3,-47.46080633,0.78,No,E03,33.9769,47.488,121,1.09,
23-Mar-14,-19.702,-70.87,21,6.2,-70.05043322,1.4,No,E03,33.9769,47.488,121,1.09,
13-Jan-14,19.043,-66.81,20,6.4,-54.47430647,2.52,Yes,E03,33.9769,47.488,121,1.09,
18-Feb-14,14.668,-58.927,15,6.5,-62.64841139,3.52,Yes,E03,33.9769,47.488,121,1.09,
7-Feb-14,-15.069,167.372,122,6.5,62.34829747,1.74,No,E04,34.4824,48.0146,74,1.19,
13-Jan-14,19.043,-66.81,20,6.4,57.91542244,0.54,No,E04,34.4824,48.0146,74,1.19,
12-Oct-13,10.905,-62.315,63,6,-83.23734426,1.46,No,E04,34.4824,48.0146,74,1.19,‡
15-Apr-14,-53.527,8.704,12,6.9,80.19074495,1,No,E04,34.4824,48.0146,74,1.19,
12-Oct-13,10.905,-62.315,63,6,-83.23734426,1.46,No,E04,34.4824,48.0146,74,1.19,‡
23-Mar-14,-19.702,-70.87,21,6.2,29.18862357,0.76,No,E05,34.9656,48.5052,34,1.13,
24-Sep-14,-23.8215,-66.6407,224,6.2,10.55507195,0.68,No,E05,34.9656,48.5052,34,1.13,
16-Oct-13,-6.446,154.931,35,6.8,67.85777276,1.94,No,E05,34.9656,48.5052,34,1.13,
15-Apr-14,-53.527,8.704,12,6.9,32.45470312,1.12,No,E05,34.9656,48.5052,34,1.13,
13-Jan-14,19.043,-66.81,20,6.4,-63.71532665,3.66,Yes,E05,34.9656,48.5052,34,1.13,
18-Feb-14,14.668,-58.927,15,6.5,-73.9631389,1.18,Yes,E05,34.9656,48.5052,34,1.13,
12-Oct-13,10.905,-62.315,63,6,75.14844472,0.18,Yes,E05,34.9656,48.5052,34,1.13,‡
15-Mar-14,-5.58,-80.957,29,6.3,-73.79253617,2.78,Yes,E05,34.9656,48.5052,34,1.13,
11-Apr-14,11.591,-86.04,135,6.6,81.27581686,1.16,No,E06,35.477,49.009,91,1.16,
16-Oct-13,-6.446,154.931,35,6.8,-81.99784702,1.6,No,E06,35.477,49.009,91,1.16,
1-Jan-14,-13.863,167.249,187,6.5,-50.77829933,1.08,No,E06,35.477,49.009,91,1.16,†
13-Jan-14,19.043,-66.81,20,6.4,-89.32951175,0.96,No,E06,35.477,49.009,91,1.16,
12-Oct-13,10.905,-62.315,63,6,73.55314017,0.88,No,E06,35.477,49.009,91,1.16,‡
15-Apr-14,-53.527,8.704,12,6.9,82.72831397,1.28,No,E06,35.477,49.009,91,1.16,
23-Mar-14,-19.702,-70.87,21,6.2,-84.16420704,4,Yes,E06,35.477,49.009,91,1.16,
15-Apr-14,-53.527,8.704,12,6.9,-85.06453004,1.2,No,E07,35.94917,49.3806,,,
19-Apr-14,-6.679,155.085,24,6.6,-5.809804325,0.7,Yes,E07,35.94917,49.3806,,,
11-Apr-14,-6.625,155.064,50,7.1,-7.842958409,3.6,Yes,E07,35.94917,49.3806,,,
16-Oct-13,-6.446,154.931,35,6.8,-7.914466038,2.48,Yes,E07,35.94917,49.3806,,,
1-Jan-14,-13.863,167.249,187,6.5,-8.825796755,3,Yes,E07,35.94917,49.3806,,,†
1-Jan-14,-13.863,167.249,187,6.5,-2.825796755,4,Yes,E07,35.94917,49.3806,,,†
13-Jan-14,19.043,-66.81,20,6.4,26.97008695,2.26,Yes,E07,35.94917,49.3806,,,
29-Jul-14,17.8419,-95.5243,95.1,6.3,48.18888477,3.84,Yes,E07,35.94917,49.3806,,,
12-Oct-13,10.905,-62.315,63,6,-76.12815309,0.36,Yes,E07,35.94917,49.3806,,,‡
24-Sep-14,-23.8215,-66.6407,224,6.2,-84.34109805,0.64,Yes,E07,35.94917,49.3806,,,
19-Apr-14,-6.679,155.085,24,6.6,30.34592235,1.04,No,E08,36.4516,49.8809,47,1.07,
1-Jan-14,-13.863,167.249,187,6.5,43.19682992,0.98,No,E08,36.4516,49.8809,47,1.07,†
7-Feb-14,-15.069,167.372,122,6.5,30.27866973,0.7,No,E08,36.4516,49.8809,47,1.07,
1-May-14,-21.454,170.355,106,6.6,54.98253347,0.96,No,E08,36.4516,49.8809,47,1.07,
24-Aug-14,-14.5976,-73.5701,101,6.8,38.0512454,1.4,No,E08,36.4516,49.8809,47,1.07,
15-Apr-14,-53.527,8.704,12,6.9,63.2112169,0.72,No,E08,36.4516,49.8809,47,1.07,
4-Apr-14,-20.621,-70.739,20,6.1,69.99642545,1.72,No,E08,36.4516,49.8809,47,1.07,
11-Apr-14,11.591,-86.04,135,6.6,36.38833451,4,Yes,E08,36.4516,49.8809,47,1.07,
11-Apr-14,-6.625,155.064,50,7.1,0.313278731,4,Yes,E08,36.4516,49.8809,47,1.07,
13-Jan-14,19.043,-66.81,20,6.4,-66.6395024,0.82,Yes,E08,36.4516,49.8809,47,1.07,
12-Oct-13,10.905,-62.315,63,6,-73.71682581,1.72,Yes,E08,36.4516,49.8809,47,1.07,‡
16-Oct-13,-6.446,154.931,35,6.8,34.43048949,1.18,No,E09,37.0061,50.4393,31,0.95,
1-Jan-14,-13.863,167.249,187,6.5,19.23516234,1.02,No,E09,37.0061,50.4393,31,0.95,†
12-Oct-13,10.905,-62.315,63,6,38.74772631,0.66,No,E09,37.0061,50.4393,31,0.95,‡
