Station,Sta_Lat,Sta_Lon,Phi,dt
E01,33.0758,46.5279,13.028950325000002,0.98
E02,33.43443,46.98882,29.42459933,1.16
E03,33.9769,47.488,-58.755619775,1.0899999999999999
E04,34.4824,48.0146,6.7959552679999975,1.24
E05,34.9656,48.5052,35.01404285,1.125
E06,35.477,49.009,2.5752688166666715,1.16
E07,35.94917,49.3806,-85.06453004,1.2
E08,36.4516,49.8809,47.15183474571428,1.0742857142857143
E09,37.0061,50.4393,30.804459379999997,0.9533333333333335
M01,33.5695,46.1071,38.700926005999996,1.485
M02,33.62968,46.19154,,
M03,33.70492,46.27077,-26.89710479,1.0
M04,33.8426,46.3004,13.062311239800001,1.464
M05,33.87,46.4269,-1.4682032199999995,1.27
M06,33.95809,46.475,8.010837589999998,1.26
M07,34.0058,46.5731,-35.34604987666667,1.2666666666666666
M08,34.1152,46.6211,-39.10325311333333,1.3933333333333333
M09,34.1731,46.73576,-38.92843068,1.1400000000000001
M10,34.236,46.7666,-62.706438635000005,1.37
M11,34.3224,46.8167,-18.712570694999997,1.3249999999999997
M12,34.4104,46.9074,-39.6047738575,1.47
M13,34.5433,47.0238,-27.358525255000004,1.2550000000000001
M14,34.6357,47.078,-35.3390688275,1.685
M15,34.72713,47.14542,,
M16,34.72713,47.14542,-32.46965783,1.8
M17,34.8842,47.3526,-22.3455993425,1.61
M18,34.9726,47.4274,15.842178746666663,1.2733333333333334
M19,35.0655,47.471,-84.48091945,1.49
M20,35.13263,47.53287,9.227282364,1.68
M21,35.13263,47.53287,32.02057543,0.88
M22,35.3302,47.7076,37.26597443,1.5899999999999999
M23,35.4079,47.8342,6.280178026666666,0.7933333333333333
M24,35.5369,47.9404,58.0826225525,1.215
M25,35.6152,48.0319,68.7590498,1.152
M26,35.6911,48.0799,53.49887177833333,1.1566666666666665
M27,35.7536,48.1937,-32.57533215857142,1.0857142857142856
M28,35.8444,48.2855,-78.8350483257143,1.4885714285714282
M29,35.9529,48.3831,11.57623987,1.7666666666666668
M30,36.04893,48.50855,-81.50393316,1.64
M31,36.1541,48.6274,-10.431171075000002,0.8300000000000001
M32,36.28061,48.67955,31.034639435,1.05
M33,36.35908,48.73281,46.62334636,0.54
M34,36.40687,48.88178,12.43044123,1.68
M35,36.4952,48.9427,-23.407416763,0.96
M36,36.57989,49.02786,,
M37,36.6956,49.1181,37.275116780000005,1.06
M38,36.7728,49.2409,10.165922290000001,1.375
M40,36.9919,49.3181,44.55059155666667,1.1066666666666667
M41,37.037,49.3981,45.66862950428571,1.2
M42,37.0837,49.5092,30.276848467500002,1.165
M43,37.1452,49.5654,39.675392534000004,1.208
M44,37.1889,49.6319,26.465593150000004,1.5899999999999999
M45,37.32,49.7227,22.970464115,1.99
M46,37.4233,49.8089,36.29384757666667,1.5
W01,34.3463,45.7438,18.8835093425,0.9299999999999999
W02,34.81076,46.20409,,
W03,35.294792,46.60854,-80.19258532,1.48
W04,35.757,47.1093,-55.14867058333334,1.2333333333333334
W05,36.2553,47.5133,54.4336801825,1.22
W06,36.7403,48.0028,4.786569401857143,1.8942857142857144
W07,37.0176,48.3808,0.9224091410000002,0.8200000000000001
W08,37.644,48.9788,51.00304090000001,1.1885714285714286
