 Long   Lat    Vpn    Ani    Direc  
 38.75  20.25  8.084  0.014    0.4  
 39.25  20.25  8.068  0.027    3.7  
 39.75  20.25  8.068  0.027    5.6  
 41.75  20.25  8.082  0.014    5.1  
 42.25  20.25  8.073  0.021    0.8  
 42.75  20.25  8.075  0.021  177.4   
 43.25  20.25  8.077  0.022  172.9  
 43.75  20.25  8.078  0.029  171.3
 44.25  20.25  8.083  0.029  172.4  
 44.75  20.25  8.098  0.021    1.5
 45.25  20.25  8.110  0.014   16.0
 52.75  20.25  8.127  0.052   22.0
 53.25  20.25  8.154  0.079   21.1
 53.75  20.25  8.175  0.095   20.5
 54.25  20.25  8.204  0.095   24.6
 54.75  20.25  8.211  0.087   25.6
 55.25  20.25  8.206  0.065   26.3
 55.75  20.25  8.170  0.053   18.8
 56.25  20.25  8.134  0.042    8.2
 56.75  20.25  8.111  0.029  178.8
 57.25  20.25  8.099  0.015  170.4
 58.75  20.25  8.096  0.008  112.5
 59.25  20.25  8.097  0.006  110.8
 69.75  20.25  8.096  0.041    9.5
 70.25  20.25  8.085  0.075   12.6
 70.75  20.25  8.068  0.120   15.1
 71.25  20.25  8.051  0.150   17.1
 71.75  20.25  8.030  0.159   19.8
 72.25  20.25  8.015  0.141   24.6
 72.75  20.25  8.031  0.083   34.5
 73.25  20.25  8.026  0.070   58.9
 73.75  20.25  8.013  0.103   73.3
 74.25  20.25  8.005  0.135   78.5
 74.75  20.25  7.997  0.136   81.2
 75.25  20.25  8.000  0.114   83.8
 75.75  20.25  8.014  0.075   87.7
 76.25  20.25  8.048  0.034   94.9
 76.75  20.25  8.097  0.011  146.1
 77.25  20.25  8.143  0.032  176.6
 77.75  20.25  8.171  0.053    6.5
 78.25  20.25  8.179  0.074   13.2
 78.75  20.25  8.172  0.092   18.5
 79.25  20.25  8.154  0.104   22.2
 79.75  20.25  8.131  0.106   25.3
 80.25  20.25  8.104  0.105   28.7
 80.75  20.25  8.078  0.101   32.6
 81.25  20.25  8.064  0.089   38.3
 81.75  20.25  8.064  0.071   48.1
 82.25  20.25  8.079  0.059   65.6
 82.75  20.25  8.100  0.064   84.4
 83.25  20.25  8.115  0.073   97.9
 83.75  20.25  8.108  0.067  112.0
 84.25  20.25  8.085  0.069  132.4
 84.75  20.25  8.071  0.080  145.4
 85.25  20.25  8.081  0.077  151.8
 85.75  20.25  8.109  0.057  155.7
 86.25  20.25  8.143  0.028  166.2
 86.75  20.25  8.178  0.020   36.4
 87.25  20.25  8.207  0.050   56.4
 87.75  20.25  8.225  0.079   63.7
 88.25  20.25  8.228  0.094   68.8
 88.75  20.25  8.216  0.090   73.4
 89.25  20.25  8.198  0.071   76.9
 89.75  20.25  8.175  0.035   80.0
 90.25  20.25  8.153  0.014  167.2
 90.75  20.25  8.135  0.068  170.8
 91.25  20.25  8.120  0.116  172.5
 91.75  20.25  8.111  0.148  173.7
 92.25  20.25  8.108  0.152  175.2
 92.75  20.25  8.098  0.121  177.8
 93.25  20.25  8.068  0.070    8.8
 93.75  20.25  8.013  0.062   41.8
 94.25  20.25  7.941  0.101   54.5
 94.75  20.25  7.888  0.110   59.4
 95.25  20.25  7.856  0.064   61.3
 95.75  20.25  7.848  0.022  144.9
 96.25  20.25  7.862  0.128  147.4
 96.75  20.25  7.896  0.234  146.6
 97.25  20.25  7.913  0.305  146.4
 97.75  20.25  7.910  0.337  146.5
 98.25  20.25  7.893  0.322  146.3
 98.75  20.25  7.859  0.260  146.4
 99.25  20.25  7.841  0.176  144.6
 99.75  20.25  7.789  0.135  153.3
100.25  20.25  7.820  0.101  162.8
100.75  20.25  7.890  0.093  179.6
101.25  20.25  7.947  0.125    8.1
101.75  20.25  8.019  0.141   12.3
102.25  20.25  8.070  0.143   13.6
102.75  20.25  8.089  0.140   10.8
103.25  20.25  8.087  0.126    5.2
103.75  20.25  8.077  0.106  176.5
104.25  20.25  8.062  0.104  165.6
104.75  20.25  8.038  0.114  158.6
105.25  20.25  8.007  0.116  155.1
105.75  20.25  7.985  0.106  151.9
106.25  20.25  7.978  0.086  145.2
106.75  20.25  7.995  0.082  133.4
107.25  20.25  8.037  0.105  124.8
107.75  20.25  8.097  0.140  123.1
108.25  20.25  8.157  0.171  124.4
108.75  20.25  8.207  0.197  127.3
109.25  20.25  8.220  0.194  129.6
109.75  20.25  8.202  0.160  132.4
 38.25  20.75  8.096  0.006  168.7
 38.75  20.75  8.085  0.015  175.9
 39.25  20.75  8.075  0.025  179.5
 39.75  20.75  8.076  0.023    2.2
 42.25  20.75  8.090  0.008    0.6
 42.75  20.75  8.092  0.007  179.5
 43.75  20.75  8.095  0.015  178.9
 44.25  20.75  8.101  0.022    4.4
 44.75  20.75  8.116  0.027   14.0
 45.25  20.75  8.134  0.034   23.5
 45.75  20.75  8.140  0.036   27.0
 46.25  20.75  8.140  0.035   28.0
 46.75  20.75  8.130  0.026   28.9
 52.75  20.75  8.127  0.045   17.7
 53.25  20.75  8.156  0.072   17.8
 53.75  20.75  8.175  0.091   17.5
 54.25  20.75  8.201  0.092   20.9
 54.75  20.75  8.218  0.085   24.9
 55.25  20.75  8.222  0.066   29.1
 55.75  20.75  8.187  0.052   22.2
 56.25  20.75  8.145  0.042    9.8
 56.75  20.75  8.113  0.033  177.1
 57.25  20.75  8.091  0.025  164.9
 57.75  20.75  8.080  0.017  151.7
 58.25  20.75  8.077  0.014  137.8
 58.75  20.75  8.080  0.012  123.5
 59.25  20.75  8.088  0.008  115.1
 68.75  20.75  8.106  0.020  177.6
 69.25  20.75  8.104  0.041    3.5
 69.75  20.75  8.093  0.079    8.3
 70.25  20.75  8.077  0.122   11.5
 70.75  20.75  8.056  0.168   14.3
 71.25  20.75  8.034  0.198   16.4
 71.75  20.75  8.000  0.212   19.9
 72.25  20.75  8.003  0.166   23.6
 72.75  20.75  7.994  0.122   33.9
 73.25  20.75  7.980  0.109   51.3
 73.75  20.75  7.965  0.131   64.6
 74.25  20.75  7.966  0.153   72.1
 74.75  20.75  7.966  0.147   75.8
 75.25  20.75  7.978  0.120   78.7
 75.75  20.75  7.998  0.070   83.0
 76.25  20.75  8.031  0.016  105.7
 76.75  20.75  8.079  0.043  164.4
 77.25  20.75  8.124  0.077  171.4
 77.75  20.75  8.156  0.095  177.5
 78.25  20.75  8.174  0.107    5.2
