phiSC,dtSC,p_lat,p_lon,null,phase,e_lat,e_lon
-59.48,3.9,35.86,35.79,True,SKS,-56.2409,-26.9353
51.81,0.6,42.58,30.26,True,SKS,-22.3087,-66.0261
31.42,3.9,50.29,29.12,True,SKS,11.9597,-88.8355
-27.16,3.9,46.16,50.77,True,SKS,-18.1125,-178.1536
-82.31,0.6,45.92,51.17,True,SKS,-18.4952,179.3555
-58.66,3.9,35.92,36.35,True,SKS,-58.5981,-26.4656
13.18,1.7,44.02,29.45,True,SKS,-14.7016,-70.135
80.94,3.9,45.02,57.40,True,SKS,-7.0927,155.3183
58.0,0.7,43.50,29.95,False,SKS,-18.2064,-69.5006
34.44,3.9,35.88,35.83,True,SKS,-56.3864,-27.0253
33.28,3.9,35.84,35.84,True,SKS,-56.41,-26.68
41.96,3.9,51.72,29.97,True,SKS,17.2651,-94.1439
-23.04,3.6,45.31,55.71,True,SKS,-10.3584,161.2473
15.79,2.5,48.75,28.13,True,SKS,6.8511,-82.3594
75.06,3.9,44.59,58.77,True,SKS,-5.8845,151.2013
27.87,0.6,42.94,30.45,True,SKS,-21.771,-68.3834
-13.2,3.2,43.89,60.87,True,SKS,-3.5147,144.9654
-80.84,2.5,45.54,28.93,True,SKS,-7.6203,-74.538
15.44,1.5,41.59,31.21,False,SKS,-28.4135,-63.136
29.25,2.8,35.87,35.87,True,SKS,-56.5611,-26.9231
-12.02,3.9,43.97,59.30,True,SKS,-6.6259,147.9311
77.05,3.9,44.60,58.81,True,SKS,-5.7682,151.1049
76.14,1.8,43.29,28.86,True,SKS,-15.3083,-65.1634
37.83,3.4,51.19,29.97,True,SKS,14.933,-93.1422
7.7,3.9,44.76,30.27,True,SKS,-14.2139,-75.6584
-16.98,3.9,45.30,55.73,True,SKS,-10.371,161.1898
57.52,3.2,50.98,33.71,True,SKS,10.0652,-104.1936
78.74,3.9,44.00,59.68,True,SKS,-5.5336,147.125
11.33,2.8,43.59,29.92,True,SKS,-17.7968,-69.7926
13.79,1.1,41.63,31.13,True,SKS,-28.021,-63.1134
19.99,1.5,48.50,28.49,True,SKS,5.2944,-82.6322
19.0,2.2,41.67,33.25,False,SKS,-36.0516,-70.8547
76.87,0.5,44.16,30.02,True,SKS,-15.9117,-72.4723
14.73,0.7,45.38,53.87,True,SKS,-14.6567,167.3043
70.49,3.4,45.24,56.14,True,SKS,-9.669,159.8561
88.31,1.6,45.39,29.02,True,SKS,-8.454,-74.2726
-12.0,3.9,43.65,60.52,True,SKS,-4.8489,144.6464
-29.58,3.9,54.16,34.13,True,SKS,24.7742,-110.1836
-13.7,3.9,44.02,60.65,True,SKS,-3.592,145.7396
68.54,3.9,55.92,36.75,True,SKS,31.1122,-119.6273
-22.04,0.8,44.57,60.06,True,SKS,-3.1902,148.6003
-74.22,3.7,46.56,29.92,True,SKS,-5.6717,-80.9351
13.07,1.1,43.43,30.41,True,SKS,-19.9051,-70.6156
10.09,1.5,43.44,30.47,True,SKS,-20.06,-70.8284
21.42,2.7,48.93,27.94,True,SKS,7.851,-82.3332
13.59,1.0,43.36,30.48,True,SKS,-20.3644,-70.5007
13.39,1.3,43.34,30.53,True,SKS,-20.6075,-70.5337
32.9,3.0,49.99,28.37,True,SKS,11.7198,-86.014
57.0,1.2,44.85,50.60,True,SKS,-25.9072,178.2219
-54.23,3.9,35.97,35.58,True,SKS,-55.4757,-28.3956
36.12,3.9,51.11,29.79,True,SKS,14.724,-92.4614
41.42,3.9,51.93,30.29,True,SKS,17.81,-95.501
81.45,3.9,44.23,60.45,True,SKS,-3.422,146.769
81.42,3.9,44.23,60.48,True,SKS,-3.34,146.72
47.15,0.7,42.08,32.75,False,SKS,-32.6953,-71.4416
31.84,0.5,44.47,29.94,True,SKS,-14.52,-73.535
39.72,0.4,44.45,29.94,True,SKS,-14.589,-73.45
34.87,1.0,42.48,30.61,False,SKS,-23.7849,-66.5888
85.29,3.9,44.11,59.37,True,SKS,-6.027,148.263
-8.13,3.0,45.18,53.30,True,SKS,-17.064,168.5545
5.56,1.2,42.57,30.48,True,SKS,-23.0653,-66.6621
15.39,2.3,47.66,25.54,True,SKS,6.7968,-73.0377
81.42,1.7,43.44,29.93,True,SKS,-18.3544,-69.1883
84.2,2.4,45.65,54.42,True,SKS,-12.0844,166.4836
82.23,3.9,44.76,58.75,True,SKS,-5.3537,151.8023
-12.0,1.2,46.20,50.27,True,SKS,-19.3863,-175.4708
82.11,3.9,45.57,55.07,True,SKS,-10.9253,164.1741
8.35,1.9,42.87,30.58,True,SKS,-22.4098,-68.4519
-17.01,1.6,45.79,50.67,True,SKS,-20.3973,-178.9194
71.39,2.1,45.53,55.13,True,SKS,-10.9382,163.8328
-10.04,3.3,44.62,58.69,True,SKS,-6.0114,151.4768
10.86,1.3,42.49,30.61,True,SKS,-23.8,-66.6
3.76,3.8,39.83,63.36,True,SKS,-7.2664,128.7939
-85.47,3.9,39.44,63.84,True,SKS,-6.3592,126.7502
-68.66,0.8,62.36,38.12,False,SKS,49.3886,-127.0648
86.49,3.6,41.86,63.50,True,SKS,-3.2181,135.0978
-0.6,3.5,41.41,63.13,True,SKS,-4.8858,134.0822
89.47,2.9,40.19,63.41,True,SKS,-6.4969,129.8684
12.61,3.3,46.95,17.68,True,SKS,14.596,-58.9719
-17.28,1.9,45.46,64.10,True,SKS,6.3995,144.9597
-13.16,1.5,44.75,61.88,True,SKS,0.8323,146.1113
-88.71,3.9,39.57,63.67,True,SKS,-7.2741,128.0364
-87.73,3.9,39.55,63.75,True,SKS,-7.13,127.92
-87.23,3.9,40.38,63.47,True,SKS,-6.11,130.4829
-4.71,3.9,41.15,65.71,True,SKS,-0.6212,131.2622
-27.7,0.9,44.75,58.71,True,SKS,-5.5168,151.8641
36.73,3.9,51.40,30.00,True,SKS,15.8009,-93.6294
-55.93,3.9,35.85,35.66,True,SKS,-55.7283,-27.2307
16.56,3.9,38.78,57.07,True,SKS,-25.5655,129.8841
9.27,2.3,42.70,31.52,True,SKS,-26.1049,-70.5074
80.21,2.3,44.51,60.26,True,SKS,-2.969,148.0345
51.81,0.6,42.58,30.26,False,SKS,-22.3087,-66.0261
-45.69,3.8,36.32,35.49,True,SKS,-55.2775,-31.7546
80.27,2.9,45.15,58.64,True,SKS,-3.6914,152.7879
7.85,1.0,42.49,30.64,True,SKS,-23.8613,-66.6592
14.99,0.9,42.65,29.49,True,SKS,-19.2814,-63.9047
64.09,3.9,45.43,50.44,True,SKS,-23.2601,-178.8033
15.11,0.8,42.69,30.66,True,SKS,-23.2706,-67.7655
